seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,24300,60000
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,97600,136400
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,176100,216700
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,256300,296200
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,338400,381700
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,425800,465800
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,504400,543700
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,585500,627900
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,671000,715500
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,758700,802400
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,848800,890800
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,933400,977400
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1021800,1067400
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1113300,1160400
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1205600,1252500
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1300900,1345900
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1391200,1437500
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1484700,1532500
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1581200,1631100
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1679500,1728600
