seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,24400,60800
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,99100,138500
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,178900,220100
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,259700,300500
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,344000,388300
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,432900,473900
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,513200,553100
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,595300,639000
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,683500,729100
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,773000,818000
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,865400,908700
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,952600,997200
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1042300,1088300
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1134900,1182300
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1228900,1276400
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1325400,1371200
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1417400,1464500
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1512600,1561700
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1611200,1661800
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1710500,1760700
