t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,36.959,-0.014,0,1,1,0,0.006,0.061,1,1,1,0,39.195,-0.049,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,266.0,0,0,0,0,0,1
100,36.956,-0.029,0,1,1,0,0.018,0.122,1,1,1,0,39.185,-0.097,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,274.1,0,0,0,0,0,1
200,36.951,-0.043,0,1,1,0,0.036,0.182,1,1,1,0,39.171,-0.146,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,271.6,0,0,0,0,0,1
300,36.946,-0.057,0,1,1,0,0.061,0.243,1,1,1,0,39.151,-0.194,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,271.2,0,0,0,0,0,1
400,36.938,-0.072,0,1,1,0,0.091,0.304,1,1,1,0,39.127,-0.243,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,266.9,0,0,0,0,0,1
500,36.93,-0.086,0,1,1,0,0.128,0.365,1,1,1,0,39.098,-0.291,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,268.1,0,0,0,0,0,1
600,36.92,-0.098,0,1,1,0,0.17,0.425,1,1,1,0,39.064,-0.34,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,271.8,0,0,0,0,0,1
700,36.912,-0.083,0,1,1,0,0.219,0.486,1,1,1,0,39.025,-0.388,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,267.4,0,0,0,0,0,1
800,36.905,-0.067,0,1,1,0,0.273,0.547,1,1,1,0,38.982,-0.437,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,268.7,0,0,0,0,0,1
900,36.9,-0.05,0,1,1,0,0.334,0.608,1,1,1,0,38.933,-0.485,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,268.4,0,0,0,0,0,1
1000,36.897,-0.033,0,1,1,0,0.401,0.668,1,1,1,0,38.88,-0.534,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,273.0,0,0,0,0,0,1
1100,36.895,0.0,0,0,1,0,0.474,0.729,1,1,1,0,38.822,-0.582,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,269.4,0,0,0,0,0,1
1200,36.895,0.0,0,0,1,0,0.553,0.79,1,1,1,0,38.759,-0.631,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,270.5,0,0,0,0,0,1
1300,36.895,0.0,0,0,1,0,0.638,0.851,1,1,1,0,38.691,-0.679,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,267.1,0,0,0,0,0,1
1400,36.895,0.0,0,0,1,0,0.729,0.911,1,1,1,0,38.618,-0.728,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,269.1,0,0,0,0,0,1
1500,36.895,0.0,0,0,1,0,0.826,0.972,1,1,1,0,38.54,-0.776,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,275.5,0,0,0,0,0,1
1600,36.895,0.0,0,0,1,0,0.93,1.033,1,1,1,0,38.458,-0.825,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,270.5,0,0,0,0,0,1
1700,36.895,0.0,0,0,1,0,1.039,1.094,1,1,1,0,38.37,-0.873,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,275.0,0,0,0,0,0,1
1800,36.895,0.0,0,0,1,0,1.154,1.154,1,1,1,0,38.278,-0.922,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,269.7,0,0,0,0,0,1
1900,36.895,0.0,0,0,1,0,1.276,1.215,1,1,1,0,38.181,-0.97,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,266.7,0,0,0,0,0,1
2000,36.895,0.0,0,0,1,0,1.403,1.276,1,1,1,0,38.079,-1.019,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.3,271.7,0,0,0,0,0,1
2100,36.895,0.0,0,0,1,0,1.537,1.337,1,1,1,0,37.973,-1.067,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.2,272.7,0,0,0,0,0,1
