seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,23600,59200
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,96200,134600
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,173900,214900
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,253500,293200
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,335500,378500
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,421800,461300
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,500000,539900
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,580800,623300
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,666400,710600
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,753000,796300
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,841900,883600
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,926200,970100
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1014300,1059500
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1105000,1151700
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1197100,1243600
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1292300,1336600
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1382000,1428100
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1475100,1522700
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1571200,1620600
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1668900,1717600
