seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,25200,62100
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,101000,141300
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,182300,224600
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,264900,306200
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,349700,393900
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,438600,480100
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,520400,561400
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,604400,648400
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,692900,738400
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,782200,826800
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,873400,917400
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,961000,1005600
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1051300,1098200
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1145400,1193600
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1239800,1286700
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1336200,1382000
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1428800,1476300
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1524300,1573400
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1623300,1673500
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1722500,1772100
