seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,23900,59100
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,96600,134700
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,174100,214400
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,253800,293900
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,336400,379100
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,422900,463100
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,501700,540900
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,582200,624600
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,667200,711200
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,754100,798000
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,843900,885400
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,927800,971700
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1015900,1061000
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1106700,1153600
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1199700,1246500
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1294900,1339800
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1385300,1431400
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1478400,1526300
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1575200,1624900
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1673500,1722400
