seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,23900,59200
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,96800,135900
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,175700,216200
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,255600,295900
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,338200,381700
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,425700,466100
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,504700,544400
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,585800,628500
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,672200,716600
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,759800,803700
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,850000,892500
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,935000,978800
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1023100,1068900
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1114900,1162000
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1207500,1254000
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1302200,1347500
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1393500,1439800
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1487000,1535000
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1583800,1633800
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1682200,1731400
