t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,124.99,0.0,0,0,1,0,23.886,0.055,1,1,1,0,39.195,-0.052,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,270.1,0,0,0,0,0,1
100,124.99,0.0,0,0,1,0,23.897,0.111,1,1,1,0,39.184,-0.105,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.4,270.1,0,0,0,0,0,1
200,124.99,0.0,0,0,1,0,23.913,0.166,1,1,1,0,39.169,-0.157,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,267.6,0,0,0,0,0,1
300,124.99,0.0,0,0,1,0,23.935,0.221,1,1,1,0,39.148,-0.21,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,268.6,0,0,0,0,0,1
400,124.99,0.0,0,0,1,0,23.963,0.277,1,1,1,0,39.121,-0.262,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,270.8,0,0,0,0,0,1
500,124.99,0.0,0,0,1,0,23.996,0.332,1,1,1,0,39.09,-0.315,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,269.9,0,0,0,0,0,1
600,124.99,0.0,0,0,1,0,24.035,0.387,1,1,1,0,39.053,-0.367,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,271.1,0,0,0,0,0,1
700,124.99,0.0,0,0,1,0,24.079,0.443,1,1,1,0,39.011,-0.42,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,271.8,0,0,0,0,0,1
800,124.99,0.0,0,0,1,0,24.129,0.498,1,1,1,0,38.964,-0.472,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,271.3,0,0,0,0,0,1
900,124.99,0.0,0,0,1,0,24.184,0.553,1,1,1,0,38.911,-0.525,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,269.5,0,0,0,0,0,1
1000,124.99,0.0,0,0,1,0,24.245,0.608,1,1,1,0,38.854,-0.577,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,270.3,0,0,0,0,0,1
1100,124.99,0.0,0,0,1,0,24.311,0.664,1,1,1,0,38.791,-0.629,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,266.3,0,0,0,0,0,1
1200,124.99,0.0,0,0,1,0,24.383,0.719,1,1,1,0,38.723,-0.682,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,268.9,0,0,0,0,0,1
1300,124.99,0.0,0,0,1,0,24.461,0.774,1,1,1,0,38.649,-0.734,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,276.8,0,0,0,0,0,1
1400,124.99,0.0,0,0,1,0,24.544,0.83,1,1,1,0,38.571,-0.787,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,269.7,0,0,0,0,0,1
