seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,23400,57600
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,94300,132500
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,171600,211100
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,250100,289400
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,331200,373900
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,417200,456200
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,494700,533600
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,574900,616700
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,659700,703200
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,745600,789100
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,834300,876100
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,918400,961600
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1006000,1050800
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1096100,1143300
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1188400,1234700
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1283300,1328000
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1373200,1419400
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1466100,1513300
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1561900,1611100
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1659100,1707900
