seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,24500,60400
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,98600,137500
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,177600,219100
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,258500,299500
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,342600,386500
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,431100,472100
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,511900,551900
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,594200,637900
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,682200,727300
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,770400,814900
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,861700,905000
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,948800,993200
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1038600,1084900
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1131600,1179100
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1226100,1273500
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1323300,1369500
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1415500,1462800
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1511100,1560600
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1610500,1661500
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1710600,1760900
