seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,23700,58800
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,96100,134100
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,173100,212500
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,250800,290200
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,331600,374300
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,417800,457000
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,495300,534300
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,575600,617500
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,659700,703500
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,745500,789000
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,834200,875800
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,918000,960800
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1004500,1048900
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1094300,1140500
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1186100,1232400
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1280500,1324100
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1369100,1415100
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1461600,1509200
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1557600,1606700
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1655100,1704200
