t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,118.49,0.016,1,1,1,0,23.886,0.059,1,1,1,0,33.195,-0.047,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,274.2,0,0,0,0,0,1
100,118.493,0.032,1,1,1,0,23.898,0.117,1,1,1,0,33.186,-0.094,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,267.5,0,0,0,0,0,1
200,118.498,0.048,1,1,1,0,23.915,0.176,1,1,1,0,33.172,-0.141,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,265.9,0,0,0,0,0,1
300,118.505,0.064,1,1,1,0,23.939,0.235,1,1,1,0,33.153,-0.188,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,271.0,0,0,0,0,0,1
400,118.513,0.08,1,1,1,0,23.968,0.294,1,1,1,0,33.13,-0.234,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,269.0,0,0,0,0,0,1
500,118.522,0.096,1,1,1,0,24.003,0.352,1,1,1,0,33.102,-0.281,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,267.9,0,0,0,0,0,1
600,118.533,0.112,1,1,1,0,24.044,0.411,1,1,1,0,33.069,-0.328,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,275.2,0,0,0,0,0,1
700,118.546,0.128,1,1,1,0,24.091,0.47,1,1,1,0,33.031,-0.375,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,270.3,0,0,0,0,0,1
800,118.56,0.144,1,1,1,0,24.144,0.528,1,1,1,0,32.989,-0.422,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,271.1,0,0,0,0,0,1
900,118.576,0.16,1,1,1,0,24.203,0.587,1,1,1,0,32.942,-0.469,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.2,272.3,0,0,0,0,0,1
1000,118.594,0.176,1,1,1,0,24.268,0.646,1,1,1,0,32.891,-0.516,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,270.9,0,0,0,0,0,1
1100,118.613,0.192,1,1,1,0,24.338,0.705,1,1,1,0,32.834,-0.563,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,271.7,0,0,0,0,0,1
1200,118.634,0.208,1,1,1,0,24.414,0.763,1,1,1,0,32.773,-0.609,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,273.1,0,0,0,0,0,1
1300,118.656,0.224,1,1,1,0,24.496,0.822,1,1,1,0,32.708,-0.656,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,270.3,0,0,0,0,0,1
1400,118.68,0.239,1,1,1,0,24.585,0.881,1,1,1,0,32.637,-0.703,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,269.1,0,0,0,0,0,1
1500,118.706,0.255,1,1,1,0,24.678,0.939,1,1,1,0,32.562,-0.75,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,272.3,0,0,0,0,0,1
1600,118.733,0.271,1,1,1,0,24.778,0.998,1,1,1,0,32.483,-0.797,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,266.8,0,0,0,0,0,1
1700,118.762,0.287,1,1,1,0,24.884,1.057,1,1,1,0,32.398,-0.844,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,269.8,0,0,0,0,0,1
1800,118.792,0.303,1,1,1,0,24.996,1.116,1,1,1,0,32.309,-0.891,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,270.8,0,0,0,0,0,1
1900,118.824,0.319,1,1,1,0,25.113,1.174,1,1,1,0,32.216,-0.938,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,270.4,0,0,0,0,0,1
2000,118.857,0.335,1,1,1,0,25.236,1.233,1,1,1,0,32.117,-0.984,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,273.0,0,0,0,0,0,1
2100,118.893,0.351,1,1,1,0,25.365,1.292,1,1,1,0,32.014,-1.031,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,270.2,0,0,0,0,0,1
2200,118.929,0.367,1,1,1,0,25.5,1.35,1,1,1,0,31.906,-1.078,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,269.6,0,0,0,0,0,1
2300,118.968,0.383,1,1,1,0,25.641,1.409,1,1,1,0,31.794,-1.125,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,271.4,0,0,0,0,0,1
2400,119.007,0.399,1,1,1,0,25.788,1.468,1,1,1,0,31.676,-1.172,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,270.7,0,0,0,0,0,1
2500,119.049,0.415,1,1,1,0,25.941,1.527,1,1,1,0,31.555,-1.219,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,270.2,0,0,0,0,0,1
2600,119.092,0.431,1,1,1,0,26.099,1.585,1,1,1,0,31.428,-1.266,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,266.5,0,0,0,0,0,1
2700,119.137,0.447,1,1,1,0,26.264,1.644,1,1,1,0,31.301,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,268.9,0,0,0,0,0,1
2800,119.183,0.463,1,1,1,0,26.434,1.703,1,1,1,0,31.174,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,270.3,0,0,0,0,0,1
2900,119.231,0.479,1,1,1,0,26.61,1.761,1,1,1,0,31.046,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,273.0,0,0,0,0,0,1
3000,119.28,0.495,1,1,1,0,26.792,1.82,1,1,1,0,30.919,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,273.7,0,0,0,0,0,1
3100,119.332,0.511,1,1,1,0,26.98,1.879,1,1,1,0,30.792,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,265.1,0,0,0,0,0,1
3200,119.384,0.527,1,1,1,0,27.174,1.938,1,1,1,0,30.665,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,273.4,0,0,0,0,0,1
3300,119.439,0.543,1,1,1,0,27.373,1.996,1,1,1,0,30.537,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,270.1,0,0,0,0,0,1
3400,119.494,0.559,1,1,1,0,27.579,2.055,1,1,1,0,30.41,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,271.4,0,0,0,0,0,1
3500,119.552,0.575,1,1,1,0,27.79,2.114,1,1,1,0,30.283,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,269.5,0,0,0,0,0,1
3600,119.611,0.591,1,1,1,0,28.008,2.172,1,1,1,0,30.156,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,268.8,0,0,0,0,0,1
3700,119.672,0.607,1,1,1,0,28.231,2.231,1,1,1,0,30.028,-1.272,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,267.8,0,0,0,0,0,1
