t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,118.49,0.015,1,1,1,0,23.886,0.058,1,1,1,0,33.195,-0.051,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,268.9,0,0,0,0,0,1
100,118.493,0.03,1,1,1,0,23.897,0.116,1,1,1,0,33.185,-0.103,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.5,270.3,0,0,0,0,0,1
200,118.498,0.045,1,1,1,0,23.915,0.174,1,1,1,0,33.169,-0.154,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,273.2,0,0,0,0,0,1
300,118.504,0.06,1,1,1,0,23.938,0.232,1,1,1,0,33.149,-0.205,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,268.4,0,0,0,0,0,1
400,118.511,0.075,1,1,1,0,23.967,0.289,1,1,1,0,33.123,-0.256,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,273.5,0,0,0,0,0,1
500,118.52,0.09,1,1,1,0,24.002,0.347,1,1,1,0,33.092,-0.308,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,268.1,0,0,0,0,0,1
600,118.53,0.105,1,1,1,0,24.042,0.405,1,1,1,0,33.056,-0.359,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,268.7,0,0,0,0,0,1
700,118.542,0.119,1,1,1,0,24.088,0.463,1,1,1,0,33.015,-0.41,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,271.3,0,0,0,0,0,1
800,118.556,0.134,1,1,1,0,24.14,0.521,1,1,1,0,32.969,-0.462,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,272.7,0,0,0,0,0,1
900,118.571,0.149,1,1,1,0,24.198,0.579,1,1,1,0,32.918,-0.513,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,269.5,0,0,0,0,0,1
1000,118.587,0.164,1,1,1,0,24.262,0.637,1,1,1,0,32.862,-0.564,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,269.6,0,0,0,0,0,1
1100,118.605,0.179,1,1,1,0,24.332,0.695,1,1,1,0,32.8,-0.615,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,273.8,0,0,0,0,0,1
1200,118.624,0.194,1,1,1,0,24.407,0.753,1,1,1,0,32.733,-0.667,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,271.2,0,0,0,0,0,1
1300,118.645,0.209,1,1,1,0,24.488,0.81,1,1,1,0,32.662,-0.718,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,268.6,0,0,0,0,0,1
1400,118.668,0.224,1,1,1,0,24.575,0.868,1,1,1,0,32.585,-0.769,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,270.1,0,0,0,0,0,1
1500,118.692,0.239,1,1,1,0,24.667,0.926,1,1,1,0,32.503,-0.821,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.6,270.1,0,0,0,0,0,1
1600,118.717,0.254,1,1,1,0,24.766,0.984,1,1,1,0,32.415,-0.872,0,0.0,0,0,1,1,0,3,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,271.7,0,0,0,0,0,1
