trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
1,0.52,GT,118.5243,118.5243,0.0000,1,0,0
1,0.52,TR,24.0166,24.0166,0.0000,1,0,0
1,0.52,HO,33.0779,33.0779,0.0000,1,0,0
2,1.04,GT,118.5990,118.5990,0.0000,1,0,0
2,1.04,TR,24.3065,24.3065,0.0000,1,0,0
2,1.04,HO,32.8190,32.8190,0.0000,1,0,0
3,1.56,GT,118.7159,118.7159,0.0000,1,0,0
3,1.56,TR,24.7567,24.7567,0.0000,1,0,0
3,1.56,HO,32.4170,32.4170,0.0000,1,0,0
4,2.08,GT,118.8736,118.8736,0.0000,1,0,0
4,2.08,TR,25.3660,25.3660,0.0000,1,0,0
4,2.08,HO,31.8726,31.8726,0.0000,1,0,0
5,2.60,GT,119.0733,119.0733,0.0000,1,0,0
5,2.60,TR,26.1366,26.1366,0.0000,1,0,0
5,2.60,HO,31.2336,31.2336,0.0000,1,0,0
6,3.12,GT,119.3150,119.3150,0.0000,1,0,0
6,3.12,TR,27.0675,27.0675,0.0000,1,0,0
6,3.12,HO,30.5921,30.5921,0.0000,1,0,0
7,3.64,GT,119.5975,119.5975,0.0000,1,0,0
7,3.64,TR,28.0640,28.0640,0.0000,1,0,0
7,3.64,HO,29.9505,29.9505,0.0000,1,0,0
8,4.16,GT,119.9222,119.9222,0.0000,1,0,0
8,4.16,TR,28.9076,28.9076,0.0000,1,0,0
8,4.16,HO,29.3092,29.3092,0.0000,1,0,0
9,4.68,GT,120.2800,120.2800,0.0000,1,0,0
9,4.68,TR,29.5893,29.5893,0.0000,1,0,0
9,4.68,HO,28.6683,28.6683,0.0000,1,0,0
10,5.20,GT,120.6409,120.6409,0.0000,1,0,0
10,5.20,TR,30.1071,30.1071,0.0000,1,0,0
10,5.20,HO,28.0267,28.0267,0.0000,1,0,0
11,5.72,GT,121.0017,121.0017,0.0000,1,0,0
11,5.72,TR,30.4570,30.4570,0.0000,1,0,0
11,5.72,HO,27.3851,27.3851,0.0000,1,0,0
12,6.24,GT,121.3625,121.3625,0.0000,1,0,0
12,6.24,TR,30.6365,30.6365,0.0000,1,0,0
12,6.24,HO,26.7439,26.7439,0.0000,1,0,0
13,6.76,GT,121.7233,121.7234,0.0000,1,0,0
13,6.76,TR,30.6580,30.6580,0.0000,1,0,0
13,6.76,HO,26.1028,26.1028,0.0000,1,0,0
14,7.28,GT,122.0842,122.0842,0.0000,1,0,0
14,7.28,TR,30.6580,30.6580,0.0000,1,0,0
14,7.28,HO,25.4612,25.4612,0.0000,1,0,0
15,7.80,GT,122.4451,122.4451,0.0000,1,0,0
15,7.80,TR,30.6580,30.6580,0.0000,1,0,0
15,7.80,HO,24.8196,24.8196,0.0000,1,0,0
16,8.32,GT,122.8061,122.8061,0.0000,1,0,0
16,8.32,TR,30.6580,30.6580,0.0000,1,0,0
16,8.32,HO,24.1787,24.1787,0.0000,1,0,0
17,8.84,GT,123.1676,123.1676,0.0000,1,0,0
17,8.84,TR,30.6580,30.6580,0.0000,1,0,0
17,8.84,HO,23.5374,23.5374,0.0000,1,0,0
18,9.36,GT,123.5284,123.5284,0.0000,1,0,0
18,9.36,TR,30.6580,30.6580,0.0000,1,0,0
18,9.36,HO,22.8958,22.8958,0.0000,1,0,0
19,9.88,GT,123.8806,123.8806,0.0000,1,0,0
19,9.88,TR,30.6580,30.6580,0.0000,1,0,0
19,9.88,HO,22.2542,22.2542,0.0000,1,0,0
20,10.40,GT,124.1936,124.1936,0.0000,1,0,0
20,10.40,TR,30.6580,30.6580,0.0000,1,0,0
20,10.40,HO,21.6134,21.6134,0.0000,1,0,0
21,10.92,GT,124.4645,124.4645,0.0000,1,0,0
21,10.92,TR,30.6580,30.6580,0.0000,1,0,0
21,10.92,HO,20.9719,20.9719,0.0000,1,0,0
22,11.44,GT,124.6971,124.6971,0.0000,1,0,0
22,11.44,TR,30.6580,30.6580,0.0000,1,0,0
22,11.44,HO,20.3303,20.3303,0.0000,1,0,0
23,11.96,GT,124.8929,124.8929,0.0000,1,0,0
23,11.96,TR,30.6580,30.6580,0.0000,1,0,0
23,11.96,HO,19.6890,19.6890,0.0000,1,0,0
24,12.48,GT,125.0465,125.0465,0.0000,1,0,0
24,12.48,TR,30.6580,30.6580,0.0000,1,0,0
24,12.48,HO,19.0481,19.0481,0.0000,1,0,0
25,13.00,GT,125.1576,125.1576,0.0000,1,0,0
25,13.00,TR,30.6580,30.6580,0.0000,1,0,0
25,13.00,HO,18.4065,18.4065,0.0000,1,0,0
26,13.52,GT,125.2244,125.2244,0.0000,1,0,0
26,13.52,TR,30.6580,30.6580,0.0000,1,0,0
26,13.52,HO,17.7648,17.7648,0.0000,1,0,0
27,14.04,GT,125.2460,125.2460,0.0000,1,0,0
27,14.04,TR,30.6580,30.6580,0.0000,1,0,0
27,14.04,HO,17.1237,17.1237,0.0000,1,0,0
28,14.56,GT,125.2460,125.2460,0.0000,1,0,0
28,14.56,TR,30.6580,30.6580,0.0000,1,0,0
28,14.56,HO,16.4826,16.4826,0.0000,1,0,0
29,15.08,GT,125.2460,125.2460,0.0000,1,0,0
29,15.08,TR,30.6580,30.6580,0.0000,1,0,0
29,15.08,HO,15.8411,15.8411,0.0000,1,0,0
30,15.60,GT,125.2460,125.2460,0.0000,1,0,0
30,15.60,TR,30.6580,30.6580,0.0000,1,0,0
30,15.60,HO,15.2003,15.2003,0.0000,1,0,0
31,16.12,GT,125.2460,125.2460,0.0000,1,0,0
31,16.12,TR,30.6580,30.6580,0.0000,1,0,0
31,16.12,HO,14.5588,14.5588,0.0000,1,0,0
32,16.64,GT,125.2460,125.2460,0.0000,1,0,0
32,16.64,TR,30.6580,30.6580,0.0000,1,0,0
32,16.64,HO,13.9172,13.9172,0.0000,1,0,0
33,17.16,GT,125.2460,125.2460,0.0000,1,0,0
33,17.16,TR,30.6580,30.6580,0.0000,1,0,0
33,17.16,HO,13.2758,13.2758,0.0000,1,0,0
34,17.68,GT,125.2460,125.2460,0.0000,1,0,0
34,17.68,TR,30.6580,30.6580,0.0000,1,0,0
34,17.68,HO,12.6349,12.6349,0.0000,1,0,0
35,18.20,GT,125.2460,125.2460,0.0000,1,0,0
35,18.20,TR,30.6580,30.6580,0.0000,1,0,0
35,18.20,HO,11.9933,11.9933,0.0000,1,0,0
36,18.72,GT,125.2460,125.2460,0.0000,1,0,0
36,18.72,TR,30.6580,30.6580,0.0000,1,0,0
36,18.72,HO,11.3517,11.3517,0.0000,1,0,0
37,19.24,GT,125.2460,125.2460,0.0000,1,0,0
37,19.24,TR,30.6580,30.6580,0.0000,1,0,0
37,19.24,HO,10.7106,10.7106,0.0000,1,0,0
38,19.76,GT,125.2460,125.2460,0.0000,1,0,0
38,19.76,TR,30.6580,30.6580,0.0000,1,0,0
38,19.76,HO,10.0695,10.0695,0.0000,1,0,0
39,20.28,GT,125.2460,125.2460,0.0000,1,0,0
39,20.28,TR,30.6580,30.6580,0.0000,1,0,0
39,20.28,HO,9.4278,9.4278,0.0000,1,0,0
40,20.80,GT,125.2460,125.2460,0.0000,1,0,0
40,20.80,TR,30.6580,30.6580,0.0000,1,0,0
40,20.80,HO,8.7862,8.7862,0.0000,1,0,0
41,21.32,GT,125.2460,125.2460,0.0000,1,0,0
41,21.32,TR,30.6580,30.6580,0.0000,1,0,0
41,21.32,HO,8.1453,8.1453,0.0000,1,0,0
42,21.84,GT,125.2460,125.2460,0.0000,1,0,0
42,21.84,TR,30.6580,30.6580,0.0000,1,0,0
42,21.84,HO,7.5040,7.5040,0.0000,1,0,0
43,22.36,GT,125.2460,125.2460,0.0000,1,0,0
43,22.36,TR,30.6580,30.6580,0.0000,1,0,0
43,22.36,HO,6.8624,6.8624,0.0000,1,0,0
44,22.88,GT,125.2460,125.2460,0.0000,1,0,0
44,22.88,TR,30.6580,30.6580,0.0000,1,0,0
44,22.88,HO,6.2209,6.2209,0.0000,1,0,0
45,23.40,GT,125.2460,125.2460,0.0000,1,0,0
45,23.40,TR,30.6580,30.6580,0.0000,1,0,0
45,23.40,HO,5.5801,5.5801,0.0000,1,0,0
46,23.92,GT,125.2460,125.2460,0.0000,1,0,0
46,23.92,TR,30.6580,30.6580,0.0000,1,0,0
46,23.92,HO,4.9385,4.9385,0.0000,1,0,0
47,24.44,GT,125.2460,125.2460,0.0000,1,0,0
47,24.44,TR,30.6580,30.6580,0.0000,1,0,0
47,24.44,HO,4.2969,4.2969,0.0000,1,0,0
48,24.96,GT,125.2460,125.2460,0.0000,1,0,0
48,24.96,TR,30.6580,30.6580,0.0000,1,0,0
48,24.96,HO,3.6598,3.6598,0.0000,1,0,0
49,25.48,GT,125.2460,125.2460,0.0000,1,0,0
49,25.48,TR,30.6580,30.6580,0.0000,1,0,0
49,25.48,HO,3.1228,3.1227,0.0000,1,0,0
50,26.00,GT,125.2460,125.2460,0.0000,1,0,0
50,26.00,TR,30.6580,30.6580,0.0000,1,0,0
50,26.00,HO,2.7319,2.7319,0.0000,1,0,0
51,26.52,GT,125.2460,125.2460,0.0000,1,0,0
51,26.52,TR,30.6580,30.6580,0.0000,1,0,0
51,26.52,HO,2.4918,2.4918,0.0000,1,0,0
52,27.04,GT,125.2460,125.2460,0.0000,1,0,0
52,27.04,TR,30.6580,30.6580,0.0000,1,0,0
52,27.04,HO,2.4100,2.4100,0.0000,1,0,0
53,27.56,GT,125.2460,125.2460,0.0000,1,0,0
