trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
1,0.52,GT,118.5230,118.5230,0.0000,1,0,0
1,0.52,TR,24.0206,24.0206,0.0000,1,0,0
1,0.52,HO,33.0878,33.0878,0.0000,1,0,0
2,1.04,GT,118.5950,118.5950,0.0000,1,0,0
2,1.04,TR,24.3175,24.3175,0.0000,1,0,0
2,1.04,HO,32.8510,32.8510,0.0000,1,0,0
3,1.56,GT,118.7065,118.7065,0.0000,1,0,0
3,1.56,TR,24.7781,24.7781,0.0000,1,0,0
3,1.56,HO,32.4829,32.4829,0.0000,1,0,0
4,2.08,GT,118.8587,118.8587,0.0000,1,0,0
4,2.08,TR,25.4036,25.4036,0.0000,1,0,0
4,2.08,HO,31.9837,31.9837,0.0000,1,0,0
5,2.60,GT,119.0502,119.0502,0.0000,1,0,0
5,2.60,TR,26.1930,26.1930,0.0000,1,0,0
5,2.60,HO,31.3594,31.3594,0.0000,1,0,0
6,3.12,GT,119.2824,119.2824,0.0000,1,0,0
6,3.12,TR,27.1473,27.1473,0.0000,1,0,0
6,3.12,HO,30.7042,30.7042,0.0000,1,0,0
7,3.64,GT,119.5540,119.5540,0.0000,1,0,0
7,3.64,TR,28.2655,28.2655,0.0000,1,0,0
7,3.64,HO,30.0490,30.0490,0.0000,1,0,0
8,4.16,GT,119.8651,119.8651,0.0000,1,0,0
8,4.16,TR,29.5484,29.5484,0.0000,1,0,0
8,4.16,HO,29.3938,29.3938,0.0000,1,0,0
9,4.68,GT,120.2160,120.2160,0.0000,1,0,0
9,4.68,TR,30.9948,30.9948,0.0000,1,0,0
9,4.68,HO,28.7386,28.7386,0.0000,1,0,0
10,5.20,GT,120.5810,120.5810,0.0000,1,0,0
10,5.20,TR,32.6059,32.6059,0.0000,1,0,0
10,5.20,HO,28.0834,28.0834,0.0000,1,0,0
11,5.72,GT,120.9460,120.9460,0.0000,1,0,0
11,5.72,TR,34.2415,34.2415,0.0000,1,0,0
11,5.72,HO,27.4282,27.4282,0.0000,1,0,0
12,6.24,GT,121.3110,121.3110,0.0000,1,0,0
12,6.24,TR,35.7136,35.7136,0.0000,1,0,0
12,6.24,HO,26.7729,26.7729,0.0000,1,0,0
13,6.76,GT,121.6760,121.6760,0.0000,1,0,0
13,6.76,TR,37.0210,37.0210,0.0000,1,0,0
13,6.76,HO,26.1177,26.1177,0.0000,1,0,0
14,7.28,GT,122.0410,122.0410,0.0000,1,0,0
14,7.28,TR,38.1655,38.1655,0.0000,1,0,0
14,7.28,HO,25.4625,25.4625,0.0000,1,0,0
15,7.80,GT,122.4061,122.4061,0.0000,1,0,0
15,7.80,TR,39.1441,39.1441,0.0000,1,0,0
15,7.80,HO,24.8073,24.8073,0.0000,1,0,0
16,8.32,GT,122.7711,122.7711,0.0000,1,0,0
16,8.32,TR,39.9588,39.9588,0.0000,1,0,0
16,8.32,HO,24.1521,24.1521,0.0000,1,0,0
17,8.84,GT,123.1361,123.1361,0.0000,1,0,0
17,8.84,TR,40.6076,40.6076,0.0000,1,0,0
17,8.84,HO,23.4969,23.4969,0.0000,1,0,0
18,9.36,GT,123.5004,123.5004,0.0000,1,0,0
18,9.36,TR,41.0870,41.0870,0.0000,1,0,0
18,9.36,HO,22.8417,22.8417,0.0000,1,0,0
19,9.88,GT,123.8360,123.8360,0.0000,1,0,0
19,9.88,TR,41.3956,41.3956,0.0000,1,0,0
19,9.88,HO,22.1864,22.1864,0.0000,1,0,0
20,10.40,GT,124.1314,124.1314,0.0000,1,0,0
20,10.40,TR,41.5254,41.5254,0.0000,1,0,0
20,10.40,HO,21.5312,21.5312,0.0000,1,0,0
