trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
36,18.72,GT,118.4890,118.4890,0.0000,1,0,0
36,18.72,TR,23.8800,23.8800,0.0000,1,0,0
36,18.72,HO,33.2000,33.2000,0.0000,1,0,0
37,19.24,GT,118.4890,118.4890,0.0000,1,0,0
37,19.24,TR,23.8800,23.8800,0.0000,1,0,0
37,19.24,HO,33.2000,33.2000,0.0000,1,0,0
38,19.76,GT,118.4890,118.4890,0.0000,1,0,0
38,19.76,TR,23.8800,23.8800,0.0000,1,0,0
38,19.76,HO,33.2000,33.2000,0.0000,1,0,0
39,20.28,GT,118.4890,118.4890,0.0000,1,0,0
39,20.28,TR,23.8800,23.8800,0.0000,1,0,0
39,20.28,HO,33.2000,33.2000,0.0000,1,0,0
40,20.80,GT,118.4890,118.4890,0.0000,1,0,0
40,20.80,TR,23.8800,23.8800,0.0000,1,0,0
40,20.80,HO,33.2000,33.2000,0.0000,1,0,0
41,21.32,GT,118.4890,118.4890,0.0000,1,0,0
41,21.32,TR,23.8800,23.8800,0.0000,1,0,0
41,21.32,HO,33.2000,33.2000,0.0000,1,0,0
42,21.84,GT,118.4890,118.4890,0.0000,1,0,0
42,21.84,TR,23.8800,23.8800,0.0000,1,0,0
42,21.84,HO,33.2000,33.2000,0.0000,1,0,0
43,22.36,GT,118.4890,118.4890,0.0000,1,0,0
43,22.36,TR,23.8800,23.8800,0.0000,1,0,0
43,22.36,HO,33.2000,33.2000,0.0000,1,0,0
44,22.88,GT,118.4890,118.4890,0.0000,1,0,0
44,22.88,TR,23.8800,23.8800,0.0000,1,0,0
44,22.88,HO,33.2000,33.2000,0.0000,1,0,0
45,23.40,GT,118.4890,118.4890,0.0000,1,0,0
45,23.40,TR,23.8800,23.8800,0.0000,1,0,0
45,23.40,HO,33.2000,33.2000,0.0000,1,0,0
46,23.92,GT,118.4890,118.4890,0.0000,1,0,0
46,23.92,TR,23.8800,23.8800,0.0000,1,0,0
46,23.92,HO,33.2000,33.2000,0.0000,1,0,0
47,24.44,GT,118.4890,118.4890,0.0000,1,0,0
47,24.44,TR,23.8800,23.8800,0.0000,1,0,0
47,24.44,HO,33.2000,33.2000,0.0000,1,0,0
