trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
1,0.52,GT,118.5223,118.5223,0.0000,1,0,0
1,0.52,TR,24.0133,24.0133,0.0000,1,0,0
1,0.52,HO,33.0878,33.0878,0.0000,1,0,0
2,1.04,GT,118.5945,118.5945,0.0000,1,0,0
2,1.04,TR,24.2955,24.2955,0.0000,1,0,0
2,1.04,HO,32.8510,32.8510,0.0000,1,0,0
3,1.56,GT,118.7055,118.7055,0.0000,1,0,0
3,1.56,TR,24.7336,24.7336,0.0000,1,0,0
3,1.56,HO,32.4826,32.4826,0.0000,1,0,0
4,2.08,GT,118.8568,118.8568,0.0000,1,0,0
4,2.08,TR,25.3283,25.3283,0.0000,1,0,0
4,2.08,HO,31.9836,31.9836,0.0000,1,0,0
5,2.60,GT,119.0481,119.0481,0.0000,1,0,0
5,2.60,TR,26.0782,26.0782,0.0000,1,0,0
5,2.60,HO,31.3709,31.3709,0.0000,1,0,0
6,3.12,GT,119.2794,119.2794,0.0000,1,0,0
6,3.12,TR,26.9860,26.9860,0.0000,1,0,0
6,3.12,HO,30.7440,30.7440,0.0000,1,0,0
7,3.64,GT,119.5500,119.5500,0.0000,1,0,0
7,3.64,TR,28.0485,28.0485,0.0000,1,0,0
7,3.64,HO,30.1175,30.1175,0.0000,1,0,0
8,4.16,GT,119.8601,119.8601,0.0000,1,0,0
8,4.16,TR,29.2676,29.2676,0.0000,1,0,0
8,4.16,HO,29.4910,29.4910,0.0000,1,0,0
9,4.68,GT,120.2099,120.2099,0.0000,1,0,0
9,4.68,TR,30.6423,30.6423,0.0000,1,0,0
9,4.68,HO,28.8641,28.8641,0.0000,1,0,0
10,5.20,GT,120.5821,120.5821,0.0000,1,0,0
10,5.20,TR,32.1733,32.1733,0.0000,1,0,0
10,5.20,HO,28.2370,28.2370,0.0000,1,0,0
11,5.72,GT,120.9536,120.9536,0.0000,1,0,0
11,5.72,TR,33.7644,33.7644,0.0000,1,0,0
11,5.72,HO,27.6107,27.6107,0.0000,1,0,0
12,6.24,GT,121.3260,121.3260,0.0000,1,0,0
12,6.24,TR,35.2061,35.2061,0.0000,1,0,0
12,6.24,HO,26.9839,26.9839,0.0000,1,0,0
13,6.76,GT,121.6984,121.6984,0.0000,1,0,0
13,6.76,TR,36.4892,36.4892,0.0000,1,0,0
13,6.76,HO,26.3572,26.3572,0.0000,1,0,0
14,7.28,GT,122.0700,122.0699,0.0000,1,0,0
14,7.28,TR,37.6158,37.6158,0.0000,1,0,0
14,7.28,HO,25.7300,25.7300,0.0000,1,0,0
15,7.80,GT,122.4423,122.4423,0.0000,1,0,0
15,7.80,TR,38.5820,38.5820,0.0000,1,0,0
15,7.80,HO,25.1038,25.1038,0.0000,1,0,0
16,8.32,GT,122.8147,122.8147,0.0000,1,0,0
16,8.32,TR,39.3898,39.3898,0.0000,1,0,0
16,8.32,HO,24.4769,24.4769,0.0000,1,0,0
17,8.84,GT,123.1861,123.1861,0.0000,1,0,0
17,8.84,TR,40.0386,40.0386,0.0000,1,0,0
17,8.84,HO,23.8504,23.8504,0.0000,1,0,0
18,9.36,GT,123.5305,123.5305,0.0000,1,0,0
18,9.36,TR,40.5271,40.5271,0.0000,1,0,0
18,9.36,HO,23.2239,23.2239,0.0000,1,0,0
19,9.88,GT,123.8356,123.8356,0.0000,1,0,0
19,9.88,TR,40.8541,40.8541,0.0000,1,0,0
19,9.88,HO,22.5968,22.5968,0.0000,1,0,0
20,10.40,GT,124.1007,124.1007,0.0000,1,0,0
20,10.40,TR,41.0120,41.0120,0.0000,1,0,0
20,10.40,HO,21.9698,21.9698,0.0000,1,0,0
21,10.92,GT,124.3258,124.3258,0.0000,1,0,0
21,10.92,TR,41.0260,41.0260,0.0000,1,0,0
21,10.92,HO,21.3435,21.3435,0.0000,1,0,0
22,11.44,GT,124.5116,124.5116,0.0000,1,0,0
22,11.44,TR,41.0260,41.0260,0.0000,1,0,0
22,11.44,HO,20.7168,20.7168,0.0000,1,0,0
23,11.96,GT,124.6575,124.6576,0.0000,1,0,0
23,11.96,TR,41.0260,41.0260,0.0000,1,0,0
23,11.96,HO,20.0898,20.0898,0.0000,1,0,0
24,12.48,GT,124.7633,124.7633,0.0000,1,0,0
24,12.48,TR,41.0260,41.0260,0.0000,1,0,0
24,12.48,HO,19.4629,19.4629,0.0000,1,0,0
25,13.00,GT,124.8359,124.8359,0.0000,1,0,0
25,13.00,TR,41.0260,41.0260,0.0000,1,0,0
25,13.00,HO,18.8367,18.8367,0.0000,1,0,0
26,13.52,GT,124.8663,124.8663,0.0000,1,0,0
26,13.52,TR,41.0260,41.0260,0.0000,1,0,0
26,13.52,HO,18.2097,18.2097,0.0000,1,0,0
27,14.04,GT,124.8670,124.8670,0.0000,1,0,0
27,14.04,TR,41.0260,41.0260,0.0000,1,0,0
27,14.04,HO,17.5832,17.5832,0.0000,1,0,0
28,14.56,GT,124.8670,124.8670,0.0000,1,0,0
28,14.56,TR,41.0260,41.0260,0.0000,1,0,0
28,14.56,HO,16.9560,16.9560,0.0000,1,0,0
29,15.08,GT,124.8670,124.8670,0.0000,1,0,0
29,15.08,TR,41.0260,41.0260,0.0000,1,0,0
29,15.08,HO,16.3297,16.3297,0.0000,1,0,0
30,15.60,GT,124.8670,124.8670,0.0000,1,0,0
30,15.60,TR,41.0260,41.0260,0.0000,1,0,0
30,15.60,HO,15.7027,15.7027,0.0000,1,0,0
31,16.12,GT,124.8670,124.8670,0.0000,1,0,0
31,16.12,TR,41.0260,41.0260,0.0000,1,0,0
31,16.12,HO,15.0949,15.0949,0.0000,1,0,0
32,16.64,GT,124.8670,124.8670,0.0000,1,0,0
32,16.64,TR,41.0260,41.0260,0.0000,1,0,0
32,16.64,HO,14.6048,14.6048,0.0000,1,0,0
33,17.16,GT,124.8670,124.8670,0.0000,1,0,0
33,17.16,TR,41.0260,41.0260,0.0000,1,0,0
33,17.16,HO,14.2452,14.2452,0.0000,1,0,0
34,17.68,GT,124.8670,124.8670,0.0000,1,0,0
34,17.68,TR,41.0260,41.0260,0.0000,1,0,0
34,17.68,HO,14.0172,14.0172,0.0000,1,0,0
