seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0150012,40,SHIP/B04/R01/T2,QUAY/L1,25000,61000
2,STS,XRPU0150028,40,SHIP/B04/R01/T1,QUAY/L2,99000,138900
3,STS,XRPU0150033,40,SHIP/B04/R02/T1,QUAY/L3,179700,220900
4,STS,XRPU0150049,40,SHIP/B04/R03/T2,QUAY/L4,261000,302000
5,STS,XRPU0150054,40,SHIP/B04/R03/T1,QUAY/L5,344500,388400
