seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0150012,40,SHIP/B04/R01/T2,QUAY/L1,24600,59800
2,STS,XRPU0150028,40,SHIP/B04/R01/T1,QUAY/L2,98200,136700
3,STS,XRPU0150033,40,SHIP/B04/R02/T1,QUAY/L3,176600,217200
4,STS,XRPU0150049,40,SHIP/B04/R03/T2,QUAY/L4,256600,297100
5,STS,XRPU0150054,40,SHIP/B04/R03/T1,QUAY/L5,339700,383100
