t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,36.961,0.014,1,1,1,0,0.006,0.058,1,1,1,0,39.195,-0.049,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,270.7,0,0,0,0,0,1
100,36.964,0.029,1,1,1,0,0.017,0.115,1,1,1,0,39.185,-0.099,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,267.9,0,0,0,0,0,1
200,36.969,0.043,1,1,1,0,0.035,0.173,1,1,1,0,39.17,-0.148,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,271.5,0,0,0,0,0,1
300,36.974,0.058,1,1,1,0,0.058,0.23,1,1,1,0,39.151,-0.197,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,266.4,0,0,0,0,0,1
400,36.982,0.072,1,1,1,0,0.086,0.288,1,1,1,0,39.126,-0.246,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,273.5,0,0,0,0,0,1
500,36.99,0.086,1,1,1,0,0.121,0.345,1,1,1,0,39.097,-0.296,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,269.0,0,0,0,0,0,1
600,37.0,0.101,1,1,1,0,0.161,0.403,1,1,1,0,39.062,-0.345,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,270.7,0,0,0,0,0,1
700,37.012,0.115,1,1,1,0,0.207,0.46,1,1,1,0,39.023,-0.394,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,269.9,0,0,0,0,0,1
800,37.025,0.13,1,1,1,0,0.259,0.518,1,1,1,0,38.978,-0.443,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,269.9,0,0,0,0,0,1
900,37.036,0.115,1,1,1,0,0.316,0.575,1,1,1,0,38.929,-0.493,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,270.0,0,0,0,0,0,1
1000,37.046,0.101,1,1,1,0,0.38,0.633,1,1,1,0,38.875,-0.542,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,270.6,0,0,0,0,0,1
1100,37.055,0.086,1,1,1,0,0.449,0.69,1,1,1,0,38.816,-0.591,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,270.8,0,0,0,0,0,1
1200,37.062,0.072,1,1,1,0,0.523,0.748,1,1,1,0,38.752,-0.641,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,270.1,0,0,0,0,0,1
1300,37.068,0.058,1,1,1,0,0.604,0.805,1,1,1,0,38.683,-0.69,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,270.7,0,0,0,0,0,1
1400,37.074,0.059,1,1,1,0,0.69,0.863,1,1,1,0,38.609,-0.739,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,273.5,0,0,0,0,0,1
1500,37.078,0.042,1,1,1,0,0.782,0.92,1,1,1,0,38.53,-0.788,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,273.2,0,0,0,0,0,1
1600,37.08,0.023,1,1,1,0,0.88,0.978,1,1,1,0,38.446,-0.838,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,265.3,0,0,0,0,0,1
1700,37.081,0.0,0,0,1,0,0.983,1.035,1,1,1,0,38.357,-0.887,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,268.8,0,0,0,0,0,1
1800,37.081,0.0,0,0,1,0,1.093,1.093,1,1,1,0,38.264,-0.936,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,268.5,0,0,0,0,0,1
1900,37.081,0.0,0,0,1,0,1.208,1.15,1,1,1,0,38.165,-0.985,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,266.0,0,0,0,0,0,1
2000,37.081,0.0,0,0,1,0,1.328,1.208,1,1,1,0,38.062,-1.035,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,271.6,0,0,0,0,0,1
2100,37.081,0.0,0,0,1,0,1.455,1.265,1,1,1,0,37.953,-1.084,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,270.0,0,0,0,0,0,1
2200,37.081,0.0,0,0,1,0,1.587,1.323,1,1,1,0,37.84,-1.133,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,270.0,0,0,0,0,0,1
2300,37.081,0.0,0,0,1,0,1.725,1.38,1,1,1,0,37.722,-1.183,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.3,269.2,0,0,0,0,0,1
2400,37.081,0.0,0,0,1,0,1.869,1.438,1,1,1,0,37.599,-1.232,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.2,271.5,0,0,0,0,0,1
2500,37.081,0.0,0,0,1,0,2.018,1.495,1,1,1,0,37.473,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,272.5,0,0,0,0,0,1
2600,37.081,0.0,0,0,1,0,2.174,1.553,1,1,1,0,37.348,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,272.9,0,0,0,0,0,1
2700,37.081,0.0,0,0,1,0,2.335,1.61,1,1,1,0,37.223,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,269.6,0,0,0,0,0,1
2800,37.081,0.0,0,0,1,0,2.501,1.668,1,1,1,0,37.097,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,263.7,0,0,0,0,0,1
2900,37.081,0.0,0,0,1,0,2.674,1.725,1,1,1,0,36.972,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,274.6,0,0,0,0,0,1
3000,37.081,0.0,0,0,1,0,2.852,1.783,1,1,1,0,36.846,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,274.3,0,0,0,0,0,1
3100,37.081,0.0,0,0,1,0,3.036,1.84,1,1,1,0,36.721,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,268.2,0,0,0,0,0,1
3200,37.081,0.0,0,0,1,0,3.226,1.898,1,1,1,0,36.596,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.3,269.3,0,0,0,0,0,1
3300,37.081,0.0,0,0,1,0,3.422,1.955,1,1,1,0,36.47,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,272.0,0,0,0,0,0,1
3400,37.081,0.0,0,0,1,0,3.623,2.013,1,1,1,0,36.345,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,267.6,0,0,0,0,0,1
3500,37.081,0.0,0,0,1,0,3.83,2.07,1,1,1,0,36.22,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,272.3,0,0,0,0,0,1
3600,37.081,0.0,0,0,1,0,4.043,2.128,1,1,1,0,36.094,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,273.3,0,0,0,0,0,1
3700,37.081,0.0,0,0,1,0,4.261,2.185,1,1,1,0,35.969,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,269.1,0,0,0,0,0,1
3800,37.081,0.0,0,0,1,0,4.485,2.243,1,1,1,0,35.844,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.9,273.6,0,0,0,0,0,1
3900,37.081,0.0,0,0,1,0,4.715,2.3,1,1,1,0,35.718,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,272.5,0,0,0,0,0,1
4000,37.081,0.0,0,0,1,0,4.951,2.358,1,1,1,0,35.593,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,268.7,0,0,0,0,0,1
4100,37.081,0.0,0,0,1,0,5.193,2.415,1,1,1,0,35.467,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,266.5,0,0,0,0,0,1
4200,37.081,0.0,0,0,1,0,5.44,2.473,1,1,1,0,35.342,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,270.5,0,0,0,0,0,1
4300,37.081,0.0,0,0,1,0,5.693,2.53,1,1,1,0,35.217,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,268.6,0,0,0,0,0,1
4400,37.081,0.0,0,0,1,0,5.952,2.588,1,1,1,0,35.091,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.4,272.7,0,0,0,0,0,1
4500,37.081,0.0,0,0,1,0,6.216,2.645,1,1,1,0,34.966,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,273.2,0,0,0,0,0,1
4600,37.081,0.0,0,0,1,0,6.487,2.703,1,1,1,0,34.841,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,273.4,0,0,0,0,0,1
4700,37.081,0.0,0,0,1,0,6.763,2.76,1,1,1,0,34.715,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,269.8,0,0,0,0,0,1
4800,37.081,0.0,0,0,1,0,7.044,2.818,1,1,1,0,34.59,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.6,268.1,0,0,0,0,0,1
4900,37.081,0.0,0,0,1,0,7.332,2.875,1,1,1,0,34.465,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,273.2,0,0,0,0,0,1
5000,37.081,0.0,0,0,1,0,7.625,2.933,1,1,1,0,34.339,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,266.5,0,0,0,0,0,1
5100,37.081,0.0,0,0,1,0,7.924,2.99,1,1,1,0,34.214,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,265.8,0,0,0,0,0,1
5200,37.081,0.0,0,0,1,0,8.229,3.048,1,1,1,0,34.088,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,271.6,0,0,0,0,0,1
5300,37.081,0.0,0,0,1,0,8.54,3.105,1,1,1,0,33.963,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,272.7,0,0,0,0,0,1
5400,37.081,0.0,0,0,1,0,8.856,3.163,1,1,1,0,33.838,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.0,269.8,0,0,0,0,0,1
5500,37.081,0.0,0,0,1,0,9.178,3.22,1,1,1,0,33.712,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,267.0,0,0,0,0,0,1
5600,37.081,0.0,0,0,1,0,9.506,3.278,1,1,1,0,33.587,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.3,268.9,0,0,0,0,0,1
5700,37.081,0.0,0,0,1,0,9.839,3.335,1,1,1,0,33.462,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,269.8,0,0,0,0,0,1
5800,37.081,0.0,0,0,1,0,10.178,3.393,1,1,1,0,33.336,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,266.6,0,0,0,0,0,1
5900,37.081,0.0,0,0,1,0,10.523,3.45,1,1,1,0,33.211,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,273.3,0,0,0,0,0,1
6000,37.081,0.0,0,0,1,0,10.874,3.508,1,1,1,0,33.086,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,266.5,0,0,0,0,0,1
6100,37.081,0.0,0,0,1,0,11.231,3.565,1,1,1,0,32.96,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,274.0,0,0,0,0,0,1
6200,37.081,0.0,0,0,1,0,11.589,3.578,1,1,1,0,32.835,-1.254,0,0.0,0,0,1,1,0,0,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.2,264.5,0,0,0,0,0,1
