seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0150012,40,SHIP/B04/R01/T2,QUAY/L1,28700,64200
2,STS,XRPU0150028,40,SHIP/B04/R01/T1,QUAY/L2,101300,139800
3,STS,XRPU0150033,40,SHIP/B04/R02/T1,QUAY/L3,179600,219900
4,STS,XRPU0150049,40,SHIP/B04/R03/T2,QUAY/L4,258900,299200
5,STS,XRPU0150054,40,SHIP/B04/R03/T1,QUAY/L5,341100,383600
