seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,RTG,XRPU0160010,40,YARD1/B04/R02/T1,YARD1/B06/R01/T1,68000,133600
2,RTG,XRPU0160026,40,YARD1/B05/R05/T1,YARD1/B06/R01/T2,181500,226800
3,RTG,XRPU0160031,40,YARD1/B07/R03/T1,YARD1/B06/R02/T1,272600,321300
4,RTG,XRPU0160047,40,YARD1/B08/R06/T1,YARD1/B06/R02/T2,387000,451100
5,RTG,XRPU0160052,40,YARD1/B06/R04/T1,YARD1/B06/R01/T3,480500,508700
