t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,38.462,-0.015,0,1,1,0,10.089,-0.061,0,1,1,0,19.561,-0.051,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.2,267.1,0,0,0,0,0,1
100,38.459,-0.03,0,1,1,0,10.077,-0.122,0,1,1,0,19.551,-0.102,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.4,269.1,0,0,0,0,0,1
200,38.454,-0.045,0,1,1,0,10.058,-0.184,0,1,1,0,19.536,-0.152,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,270.9,0,0,0,0,0,1
300,38.448,-0.06,0,1,1,0,10.034,-0.245,0,1,1,0,19.515,-0.203,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,271.5,0,0,0,0,0,1
400,38.441,-0.075,0,1,1,0,10.003,-0.306,0,1,1,0,19.49,-0.254,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,268.5,0,0,0,0,0,1
500,38.432,-0.09,0,1,1,0,9.966,-0.367,0,1,1,0,19.459,-0.305,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,270.5,0,0,0,0,0,1
600,38.421,-0.106,0,1,1,0,9.924,-0.428,0,1,1,0,19.424,-0.356,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,268.3,0,0,0,0,0,1
700,38.409,-0.121,0,1,1,0,9.875,-0.49,0,1,1,0,19.383,-0.407,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,267.5,0,0,0,0,0,1
800,38.396,-0.136,0,1,1,0,9.82,-0.551,0,1,1,0,19.337,-0.457,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.8,267.7,0,0,0,0,0,1
900,38.381,-0.151,0,1,1,0,9.758,-0.612,0,1,1,0,19.287,-0.508,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.1,272.1,0,0,0,0,0,1
1000,38.364,-0.166,0,1,1,0,9.691,-0.673,0,1,1,0,19.231,-0.559,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,277.7,0,0,0,0,0,1
1100,38.346,-0.181,0,1,1,0,9.618,-0.734,0,1,1,0,19.17,-0.61,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,266.0,0,0,0,0,0,1
1200,38.326,-0.196,0,1,1,0,9.538,-0.795,0,1,1,0,19.104,-0.661,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,276.5,0,0,0,0,0,1
1300,38.305,-0.211,0,1,1,0,9.452,-0.857,0,1,1,0,19.032,-0.711,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.7,268.8,0,0,0,0,0,1
1400,38.283,-0.226,0,1,1,0,9.361,-0.918,0,1,1,0,18.956,-0.762,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.6,269.6,0,0,0,0,0,1
1500,38.261,-0.211,0,1,1,0,9.263,-0.979,0,1,1,0,18.875,-0.813,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.1,270.0,0,0,0,0,0,1
1600,38.242,-0.196,0,1,1,0,9.159,-1.04,0,1,1,0,18.789,-0.864,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,9.0,273.8,0,0,0,0,0,1
1700,38.224,-0.181,0,1,1,0,9.049,-1.101,0,1,1,0,18.697,-0.915,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.1,270.1,0,0,0,0,0,1
