seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,RTG,XRPU0160010,40,YARD1/B04/R02/T1,YARD1/B06/R01/T1,70400,138400
2,RTG,XRPU0160026,40,YARD1/B05/R05/T1,YARD1/B06/R01/T2,187100,234100
3,RTG,XRPU0160031,40,YARD1/B07/R03/T1,YARD1/B06/R02/T1,280700,329300
4,RTG,XRPU0160047,40,YARD1/B08/R06/T1,YARD1/B06/R02/T2,397200,464300
5,RTG,XRPU0160052,40,YARD1/B06/R04/T1,YARD1/B06/R01/T3,493400,522100
