seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,RTG,XRPU0160010,40,YARD1/B04/R02/T1,YARD1/B06/R01/T1,19200,87800
2,RTG,XRPU0160026,40,YARD1/B05/R05/T1,YARD1/B06/R01/T2,136200,181900
3,RTG,XRPU0160031,40,YARD1/B07/R03/T1,YARD1/B06/R02/T1,228900,278000
4,RTG,XRPU0160047,40,YARD1/B08/R06/T1,YARD1/B06/R02/T2,346800,413200
5,RTG,XRPU0160052,40,YARD1/B06/R04/T1,YARD1/B06/R01/T3,442000,470300
