seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,33500,70000
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,107500,146700
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,187000,227900
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,270200,313400
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,358100,403500
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,444700,486600
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,529800,574600
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,620100,666300
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,712800,760200
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,811800,851100
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,887000,924100
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,962100,1001300
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1041800,1083600
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1125400,1168500
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1212400,1258600
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1301400,1346000
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1391700,1437900
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1509800,1548200
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1587800,1628600
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1670300,1714200
