seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,32700,69100
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,106300,144300
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,184300,225400
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,267400,310500
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,354400,398700
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,440100,482000
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,524500,568400
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,613700,659800
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,706800,754300
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,805700,845100
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,880300,916900
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,954500,993900
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1034200,1074700
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1116500,1159100
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1202800,1249300
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1292000,1336500
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1382100,1428200
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1499800,1537700
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1576700,1617400
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1659200,1702500
