seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,33300,68700
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,105700,144300
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,183400,223900
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,265500,308300
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,351500,395700
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,436500,478200
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,520400,564300
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,608800,653200
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,699000,745900
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,797500,837200
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,872200,908600
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,945900,985100
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1025200,1065800
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1107500,1149300
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1192500,1238100
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1280800,1324900
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1370000,1415500
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1488300,1526600
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1565700,1605900
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1647200,1689600
