seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,33900,70100
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,107100,145800
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,185900,226900
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,269200,312700
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,356900,402000
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,443700,485300
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,528100,572400
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,617800,663500
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,710400,758200
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,809500,849200
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,884600,921400
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,959100,998600
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1038400,1079300
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1121300,1164600
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1207600,1254400
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1297100,1341700
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1387600,1434000
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1504000,1542300
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1581300,1621800
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1663400,1707200
