seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,34900,71600
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,109300,148700
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,189000,230600
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,273500,317200
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,362200,407800
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,449900,492800
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,536700,581700
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,627400,674400
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,722300,770600
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,822300,862500
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,898000,935400
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,973800,1013800
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1055300,1097100
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1140000,1183800
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1228200,1275800
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1318400,1363800
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1410000,1457400
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1528800,1567600
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1607300,1648400
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1690500,1734700
