seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,20,CHASSIS,SHIP/B01/R01/T1,35200,72000
2,STS,XRPU0130021,40,CHASSIS,SHIP/B01/R02/T1,108700,146900
3,STS,XRPU0130037,20,CHASSIS,SHIP/B01/R03/T1,184500,222700
4,STS,XRPU0130042,40,CHASSIS,SHIP/B01/R04/T1,260900,299900
5,STS,XRPU0130058,20,CHASSIS,SHIP/B01/R05/T1,339000,379200
6,STS,XRPU0130063,40,CHASSIS,SHIP/B01/R01/T2,419100,454000
7,STS,XRPU0130079,20,CHASSIS,SHIP/B01/R02/T2,488700,523800
8,STS,XRPU0130084,40,CHASSIS,SHIP/B01/R03/T2,559600,595900
9,STS,XRPU0130090,20,CHASSIS,SHIP/B01/R04/T2,632200,669600
10,STS,XRPU0130103,40,CHASSIS,SHIP/B01/R05/T2,706500,744000
11,STS,XRPU0130119,20,CHASSIS,SHIP/B02/R01/T1,786000,823200
12,STS,XRPU0130124,40,CHASSIS,SHIP/B02/R02/T1,860800,898600
13,STS,XRPU0130130,20,CHASSIS,SHIP/B02/R03/T1,936300,974900
14,STS,XRPU0130145,40,CHASSIS,SHIP/B02/R04/T1,1013900,1053800
15,STS,XRPU0130150,20,CHASSIS,SHIP/B02/R05/T1,1092800,1132800
16,STS,XRPU0130166,40,CHASSIS,SHIP/B02/R01/T2,1172300,1207100
17,STS,XRPU0130171,20,CHASSIS,SHIP/B02/R02/T2,1241600,1277400
18,STS,XRPU0130187,40,CHASSIS,SHIP/B02/R03/T2,1313600,1350100
19,STS,XRPU0130192,20,CHASSIS,SHIP/B02/R04/T2,1386400,1423200
20,STS,XRPU0130206,40,CHASSIS,SHIP/B02/R05/T2,1460300,1498200
