seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,33900,70300
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,108200,147000
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,187400,228700
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,270800,314300
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,359200,404700
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,446600,489200
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,532700,577000
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,622600,668500
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,715500,763200
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,814200,854100
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,889600,927000
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,964900,1004500
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1045000,1086100
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1128200,1171400
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1215900,1262800
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1305700,1350800
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1396900,1443700
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1514900,1553500
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1593200,1634100
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1676000,1719900
