seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,38100,74500
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,111300,149900
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,189800,230100
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,271900,315100
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,359300,404400
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,445000,486600
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,529600,573800
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,618600,664100
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,711000,758400
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,809200,848400
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,883400,920000
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,958000,997000
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1036500,1077500
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1119600,1161900
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1205200,1251900
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1294400,1338800
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1384700,1431200
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1502400,1540500
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1579900,1620300
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1661700,1705400
