seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,34600,71400
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,109700,149200
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,189300,230900
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,273000,316700
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,361100,405900
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,447400,490200
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,533200,577700
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,623200,669500
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,716700,764200
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,815800,855500
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,891600,929200
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,967900,1007500
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1048600,1089900
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1132100,1175100
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1218400,1265400
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1308400,1353600
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1399900,1446200
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1517000,1556000
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1595500,1636900
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1678700,1722700
