seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0130016,40,TRUCK/L1,SHIP/B04/R02/T2,37300,73200
2,STS,XRPU0130021,40,TRUCK/L2,SHIP/B04/R04/T2,109900,148300
3,STS,XRPU0130037,40,TRUCK/L3,SHIP/B04/R06/T2,187800,228700
4,STS,XRPU0130042,40,TRUCK/L4,SHIP/B04/R08/T2,270400,313400
5,STS,XRPU0130058,40,TRUCK/L5,SHIP/B04/R09/T2,357300,402000
6,STS,XRPU0130063,40,TRUCK/L1,SHIP/B04/R10/T2,443300,485000
7,STS,XRPU0130079,40,TRUCK/L2,SHIP/B04/R12/T2,527800,571600
8,STS,XRPU0130084,40,TRUCK/L3,SHIP/B04/R13/T2,616300,662000
9,STS,XRPU0130090,40,TRUCK/L4,SHIP/B04/R14/T2,708700,756300
10,STS,XRPU0130103,40,TRUCK/L5,SHIP/B03/R01/T2,807900,847100
11,STS,XRPU0130119,40,TRUCK/L1,SHIP/B03/R03/T2,881900,918800
12,STS,XRPU0130124,40,TRUCK/L2,SHIP/B03/R05/T2,956500,996100
13,STS,XRPU0130130,40,TRUCK/L3,SHIP/B03/R06/T2,1035700,1076300
14,STS,XRPU0130145,40,TRUCK/L4,SHIP/B03/R07/T2,1118300,1160500
15,STS,XRPU0130150,40,TRUCK/L5,SHIP/B03/R11/T2,1203300,1249600
16,STS,XRPU0130166,40,TRUCK/L1,SHIP/B03/R14/T2,1292000,1336900
17,STS,XRPU0130171,40,TRUCK/L2,SHIP/B03/R15/T2,1382800,1428700
18,STS,XRPU0130187,40,TRUCK/L3,SHIP/B05/R02/T2,1501000,1539300
19,STS,XRPU0130192,40,TRUCK/L4,SHIP/B05/R04/T2,1578300,1618800
20,STS,XRPU0130206,40,TRUCK/L5,SHIP/B05/R07/T2,1660500,1703900
