t_ms,GT_Position,GT_Velocity,GT_Direction,GT_Running,GT_Brake_Released,GT_Motor_Alarm,TR_Position,TR_Velocity,TR_Direction,TR_Running,TR_Brake_Released,TR_Motor_Alarm,HO_Position,HO_Velocity,HO_Direction,HO_Load,HO_Overload_Alarm,HO_Snag_Alarm,HO_Running,HO_Brake_Released,HO_Motor_Alarm,SP_Mode,SP_TwistLock_Locked,SP_TwistLock_Unlocked,SP_Landed,SP_Container_Detected,SP_Mismatch_Alarm,SP_Telescopic_Position,OP_Mode,OP_Power_On,OP_Ready,OP_Running,OP_Standby,OP_Emergency_Stop,OP_AntiSway_Active,OP_Cycle_Count_Today,ENV_Wind_Speed,ENV_Wind_Direction,ENV_Wind_Alarm,ALM_Active,ALM_Latest_Code,ALM_Latest_Severity,ALM_Latest_Source,COM_Link_Status
0,118.49,0.015,1,1,1,0,23.886,0.059,1,1,1,0,33.195,-0.048,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,272.9,0,0,0,0,0,1
100,118.493,0.03,1,1,1,0,23.898,0.118,1,1,1,0,33.186,-0.095,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,273.1,0,0,0,0,0,1
200,118.498,0.045,1,1,1,0,23.915,0.177,1,1,1,0,33.171,-0.143,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,272.1,0,0,0,0,0,1
300,118.504,0.061,1,1,1,0,23.939,0.237,1,1,1,0,33.152,-0.191,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,269.3,0,0,0,0,0,1
400,118.511,0.076,1,1,1,0,23.969,0.296,1,1,1,0,33.128,-0.239,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,272.5,0,0,0,0,0,1
500,118.52,0.091,1,1,1,0,24.004,0.355,1,1,1,0,33.1,-0.286,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,269.8,0,0,0,0,0,1
600,118.531,0.106,1,1,1,0,24.046,0.414,1,1,1,0,33.066,-0.334,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,269.5,0,0,0,0,0,1
700,118.543,0.121,1,1,1,0,24.093,0.473,1,1,1,0,33.028,-0.382,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.7,268.3,0,0,0,0,0,1
800,118.557,0.136,1,1,1,0,24.146,0.532,1,1,1,0,32.985,-0.429,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.8,271.1,0,0,0,0,0,1
900,118.572,0.151,1,1,1,0,24.205,0.592,1,1,1,0,32.938,-0.477,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,269.5,0,0,0,0,0,1
1000,118.588,0.166,1,1,1,0,24.27,0.651,1,1,1,0,32.885,-0.525,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,7.9,267.4,0,0,0,0,0,1
1100,118.607,0.182,1,1,1,0,24.341,0.71,1,1,1,0,32.828,-0.572,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,266.1,0,0,0,0,0,1
1200,118.626,0.197,1,1,1,0,24.418,0.769,1,1,1,0,32.766,-0.62,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.0,266.0,0,0,0,0,0,1
1300,118.648,0.212,1,1,1,0,24.501,0.828,1,1,1,0,32.699,-0.668,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,265.1,0,0,0,0,0,1
1400,118.67,0.227,1,1,1,0,24.59,0.887,1,1,1,0,32.628,-0.716,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.3,270.7,0,0,0,0,0,1
1500,118.694,0.242,1,1,1,0,24.685,0.947,1,1,1,0,32.551,-0.763,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,271.3,0,0,0,0,0,1
1600,118.72,0.257,1,1,1,0,24.785,1.006,1,1,1,0,32.47,-0.811,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,270.1,0,0,0,0,0,1
1700,118.747,0.272,1,1,1,0,24.892,1.065,1,1,1,0,32.384,-0.859,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.2,269.9,0,0,0,0,0,1
1800,118.776,0.288,1,1,1,0,25.004,1.124,1,1,1,0,32.294,-0.906,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.5,273.2,0,0,0,0,0,1
1900,118.806,0.303,1,1,1,0,25.122,1.183,1,1,1,0,32.198,-0.954,0,0.0,0,0,1,1,0,1,0,1,0,0,0,12192.0,2,1,1,1,0,0,1,0,8.6,269.4,0,0,0,0,0,1
